College Name,Math SAT,Verbal SAT,ACT,App_received,App_accepted,New_std_enrolled,FT_undergrad,PT_undergrad,Instate_tuition,Outofstate_tuition,Estim_book_costs,Estim_perrsonal_cost,FacwPHDPerc,Studtofac_ratio,Graduation_rate
Providence College,537,485,25,5139,3346,973,3717,1358,14400,14400,450,1100,66,18.4,96
Central Wesleyan College,429,384,18,174,146,88,1047,33,8300,8300,600,600,62,15.2,58
College of Charleston,532,489,22,4772,3140,1265,6851,1200,3060,6120,666,2316,73,17.2,51
Lander University,455,406,18,1166,1009,510,2074,341,3340,4938,528,1702,67,17,51
Newberry College,466,418,20,872,722,154,601,36,10194,10194,500,1500,57,11.4,83
Presbyterian College,580,520,26,1082,832,302,1133,30,11859,11859,554,1429,80,13.4,85
University of South Carolina at Columbia,520,465,22,7693,5815,2328,12594,3661,3196,8074,495,2941,84,16.9,63
University of South Carolina at Aiken,480,425,21,848,560,377,1855,1412,2320,5800,500,1500,62,14.8,48
Voorhees College,340,330,16,1465,1006,188,703,20,4450,4450,500,1200,43,22.9,58
Winthrop University,516,470,18,2320,1805,769,3395,670,3620,6400,580,2150,71,12.8,59
Wofford College,564,517,24,1501,935,273,1059,34,12680,12680,605,1440,91,15.3,75
Belmont University,522,490,24,1220,974,481,1964,623,7800,7800,650,900,61,11.1,49
Christian Brothers University,530,480,24,880,520,224,1068,364,9300,9300,600,900,81,11.1,63
David Lipscomb University,510,470,23,1239,1134,611,1957,343,5775,5775,500,1700,97,16.2,73
East Tennessee State University,450,400,21,3330,2730,1303,6706,2640,1800,5800,600,2200,73,14,42
Freed-Hardeman University,485,458,22,895,548,314,1174,50,5500,5500,600,1600,68,16.1,62
Lee College,460,456,21,651,498,453,1831,180,4788,4788,500,1800,42,18.5,52
Maryville College,505,448,23,1464,888,176,624,128,11200,11200,500,1642,80,11.1,51
Tennessee Wesleyan College,440,370,19,232,182,99,402,237,7070,7070,400,3158,59,8.9,36
Tusculum College,420,370,19,626,372,145,983,40,7700,7700,450,800,70,21.9,52
University of Tennessee at Knoxville,525,468,23,7473,5372,3013,15749,3237,1830,5764,750,3300,86,16.5,53
University of the South,601,557,27,1445,966,326,1129,24,15350,15350,450,810,89,10.3,82
Vanderbilt University,640,559,28,7791,4690,1499,5500,90,17865,17865,630,952,93,5.8,83
Angelo State University,509,441,22,3540,2001,1016,4190,1512,840,5130,500,2000,60,23.1,34
Austin College,554,498,24,948,798,295,1120,15,11280,11280,400,1150,81,13,71
Concordia Lutheran College,469,402,20,232,216,106,534,172,6900,6900,450,1825,67,12.1,42
East Texas State University,467,411,21,2219,1441,719,4129,1343,1580,5390,810,1080,87,21.8,35
Hardin-Simmons University,510,470,22,467,424,350,1365,334,6300,6300,700,2140,75,13.7,38
Incarnate Word College,480,441,21,1163,927,386,1685,556,8840,8840,750,2775,67,11.4,95
Lamar University,459,413,20,2336,1725,1043,5438,4058,864,4752,508,1463,48,18.4,26
LeTourneau University,552,491,24,477,417,204,1532,77,8840,8840,600,1400,58,20.8,56
McMurry University,500,408,21,578,411,187,880,477,6930,6930,400,1525,57,11,32
University of North Texas,526,467,23,4418,2737,2049,14047,5134,672,4104,450,1700,86,22.6,35
Schreiner College,470,420,22,584,413,131,521,99,8955,8955,500,1488,51,11.8,52
Southwestern Adventist College,419,395,21,321,318,172,620,280,7536,7536,430,1651,44,13,36
Southwestern University,577,526,25,1244,912,352,1177,43,11850,11850,600,1050,83,11.3,67
St. Mary's University of San Antonio,516,454,22,1243,1020,414,2149,418,8678,8678,700,1736,82,16.2,72
Prairie View A. and M. University,377,332,17,2405,2234,1061,4564,448,840,4290,598,1582,55,19.4,35
Texas College,330,290,16,254,189,189,503,40,3605,3605,300,300,37,18.4,26
Texas Lutheran College,498,436,22,497,423,215,895,429,7850,7850,490,1700,54,13.8,50
Texas Southern University,390,420,19,4345,3245,2604,5584,3101,780,7860,600,1700,65,18.2,10
Texas Wesleyan University,426,415,20,592,501,279,1204,392,6400,6400,600,1800,80,14.5,43
University of Dallas,593,550,26,681,588,246,1058,73,10760,10760,500,1200,85,13.4,63
University of St. Thomas,560,500,26,374,280,185,995,408,8550,8550,500,1344,75,12.6,62
University of Texas at Arlington,506,434,21,3281,2559,1448,10975,8431,1206,4422,500,2850,73,21,29
University of Texas at Austin,603,523,25,14752,9572,5329,30017,5189,840,5130,650,3140,91,19.7,65
Wayland Baptist University,470,440,20,253,216,196,829,1817,5100,5100,600,1702,50,13.6,91
University of Texas at San Antonio,484,423,21,4217,3100,1686,9375,5457,672,4104,452,1200,94,25.3,50
Texas A&M Univ. at College Station,578,491,25,14474,10519,6392,31643,2798,840,5130,600,2144,89,23.1,69
University of Utah,543,484,24,5095,4491,2400,13894,8374,1954,6857,858,3093,89,12.8,37
Bluefield College,431,388,20,377,358,181,653,129,7150,7150,450,1500,61,17.8,53
Emory & Henry College,485,445,23,765,646,226,809,32,8578,8578,700,1600,79,13.9,82
Hollins College,502,505,23,602,498,215,795,74,13470,13470,500,850,78,11.1,72
Longwood College,497,455,23,2747,1870,724,2874,118,2606,7920,550,2200,74,18.4,62
Radford University,490,460,22,5702,4894,1742,8077,472,2924,6684,500,900,73,19.6,62
Randolph-Macon Woman's College,517,502,25,696,616,169,653,56,13970,13970,370,920,88,9.2,68
Shenandoah University,477,438,20,818,620,218,868,247,10700,10700,450,1400,60,9.2,59
Sweet Briar College,510,500,24,462,402,146,527,41,14500,14500,500,600,91,6.5,61
Virginia Intermont College,427,410,19,411,354,138,495,61,8170,8170,600,3000,32,12.3,48
Christendom College,568,568,23,81,72,51,139,3,8730,8730,400,800,92,9.3,58
Castleton State College,459,416,21,1257,940,363,1547,294,3660,7656,400,700,89,14.7,79
Eastern Washington University,400,350,17,2231,1908,767,6561,559,2256,7974,687,1437,69,17,47
Gonzaga University,539,492,25,1886,1524,526,2523,296,13000,13000,600,2400,78,14.7,69
Pacific Lutheran University,531,474,23,1603,1392,504,2580,302,13312,13312,600,1516,78,11,83
Seattle University,525,464,24,2115,1540,494,2993,347,12825,12825,500,1500,85,12.2,89
St. Martin's College,480,460,19,191,165,63,494,574,11550,11550,300,500,43,14.5,40
University of Puget Sound,581,520,26,4044,2826,688,2738,138,16230,16230,630,1800,79,15,63
Western Washington University,530,470,24,5548,3563,1549,8909,506,2406,8124,639,2385,83,22.7,61
Whitman College,600,550,27,1861,998,359,1220,46,16670,16670,750,800,80,10.5,72
Whitworth College,544,490,24,1121,926,372,1270,160,12660,12660,678,2424,80,16.9,80
Beloit College,575,549,26,1320,923,284,1085,81,16304,16304,355,715,87,11.1,69
Carthage College,520,460,22,1616,1427,434,1405,580,13125,13125,500,1300,74,15.9,62
Marquette University,561,492,25,5152,4600,1685,7016,804,11610,11610,600,1950,86,13.5,77
Mount Mary College,520,510,20,235,217,121,931,487,8950,8950,550,1125,51,10.7,78
Ripon College,557,513,24,587,501,211,735,28,15200,15200,350,650,87,9.4,64
St. Norbert College,614,553,24,1334,1243,568,1946,95,12140,12140,425,1100,74,15.1,88
Univ. of Wisconsin at Eau Claire,525,460,23,5729,4520,1957,8516,1264,2208,6996,279,1260,80,19.3,61
Alderson-Broaddus College,443,394,20,582,498,172,799,78,10468,10468,660,1800,40,11.5,52
Bethany College,479,448,23,664,515,210,712,10,15700,15700,400,1500,80,13,59
Bluefield State College,420,370,19,1046,832,518,1463,1150,1856,4498,600,2026,24,16.3,42
Marshall University,465,450,23,4226,3666,2007,7703,2339,1660,5094,700,1560,77,16.6,50
University of Charleston,505,443,21,682,535,204,771,611,9500,9500,400,750,26,2.5,57
Shepherd College,481,422,24,1405,1167,557,2452,1113,2064,4694,700,1665,57,16.5,46
West Virginia Wesleyan College,489,439,23,1566,1400,483,1509,170,14200,14200,450,1100,58,16.4,67
Wheeling Jesuit College,479,433,22,903,755,213,971,305,10500,10500,600,600,66,14.1,72
